localidad,anio,estacion,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,2023,Summer,Creciente,23,Bird,4.17
12 DE ABRIL,2023,Summer,Creciente,23,Insect,51.67
12 DE ABRIL,2023,Winter,Vaciante,0,Anthropogenic,92.86
12 DE ABRIL,2023,Winter,Vaciante,0,Bird,3.86
12 DE ABRIL,2023,Winter,Vaciante,0,Insect,165.0
12 DE ABRIL,2023,Winter,Vaciante,0,Mammal,0.29
12 DE ABRIL,2023,Winter,Vaciante,1,Amphibian,1.0
12 DE ABRIL,2023,Winter,Vaciante,1,Anthropogenic,77.43
12 DE ABRIL,2023,Winter,Vaciante,1,Bird,4.0
12 DE ABRIL,2023,Winter,Vaciante,1,Insect,175.0
12 DE ABRIL,2023,Winter,Vaciante,1,Mammal,1.0
12 DE ABRIL,2023,Winter,Vaciante,2,Amphibian,1.14
12 DE ABRIL,2023,Winter,Vaciante,2,Anthropogenic,59.43
12 DE ABRIL,2023,Winter,Vaciante,2,Bird,3.57
12 DE ABRIL,2023,Winter,Vaciante,2,Insect,169.29
12 DE ABRIL,2023,Winter,Vaciante,3,Amphibian,0.71
12 DE ABRIL,2023,Winter,Vaciante,3,Anthropogenic,72.71
12 DE ABRIL,2023,Winter,Vaciante,3,Bird,1.86
12 DE ABRIL,2023,Winter,Vaciante,3,Insect,164.86
12 DE ABRIL,2023,Winter,Vaciante,4,Amphibian,4.0
12 DE ABRIL,2023,Winter,Vaciante,4,Anthropogenic,65.71
12 DE ABRIL,2023,Winter,Vaciante,4,Bird,8.86
12 DE ABRIL,2023,Winter,Vaciante,4,Insect,182.29
12 DE ABRIL,2023,Winter,Vaciante,4,Mammal,0.14
12 DE ABRIL,2023,Winter,Vaciante,5,Amphibian,1.29
12 DE ABRIL,2023,Winter,Vaciante,5,Anthropogenic,31.71
12 DE ABRIL,2023,Winter,Vaciante,5,Bird,42.71
12 DE ABRIL,2023,Winter,Vaciante,5,Insect,177.71
12 DE ABRIL,2023,Winter,Vaciante,5,Mammal,0.71
12 DE ABRIL,2023,Winter,Vaciante,6,Amphibian,2.0
12 DE ABRIL,2023,Winter,Vaciante,6,Anthropogenic,34.43
12 DE ABRIL,2023,Winter,Vaciante,6,Bird,75.29
12 DE ABRIL,2023,Winter,Vaciante,6,Insect,153.86
12 DE ABRIL,2023,Winter,Vaciante,6,Mammal,1.43
12 DE ABRIL,2023,Winter,Vaciante,7,Amphibian,1.71
12 DE ABRIL,2023,Winter,Vaciante,7,Anthropogenic,45.29
12 DE ABRIL,2023,Winter,Vaciante,7,Bird,62.57
12 DE ABRIL,2023,Winter,Vaciante,7,Insect,137.43
12 DE ABRIL,2023,Winter,Vaciante,7,Mammal,0.14
12 DE ABRIL,2023,Winter,Vaciante,8,Amphibian,0.86
12 DE ABRIL,2023,Winter,Vaciante,8,Anthropogenic,48.29
12 DE ABRIL,2023,Winter,Vaciante,8,Bird,60.71
12 DE ABRIL,2023,Winter,Vaciante,8,Insect,133.14
12 DE ABRIL,2023,Winter,Vaciante,8,Mammal,0.14
12 DE ABRIL,2023,Winter,Vaciante,9,Amphibian,0.43
12 DE ABRIL,2023,Winter,Vaciante,9,Anthropogenic,42.71
12 DE ABRIL,2023,Winter,Vaciante,9,Bird,66.57
12 DE ABRIL,2023,Winter,Vaciante,9,Insect,111.29
12 DE ABRIL,2023,Winter,Vaciante,9,Mammal,0.43
12 DE ABRIL,2023,Winter,Vaciante,10,Amphibian,0.14
12 DE ABRIL,2023,Winter,Vaciante,10,Anthropogenic,45.43
12 DE ABRIL,2023,Winter,Vaciante,10,Bird,83.0
12 DE ABRIL,2023,Winter,Vaciante,10,Insect,98.86
12 DE ABRIL,2023,Winter,Vaciante,10,Mammal,0.86
12 DE ABRIL,2023,Winter,Vaciante,11,Amphibian,0.14
12 DE ABRIL,2023,Winter,Vaciante,11,Anthropogenic,42.14
12 DE ABRIL,2023,Winter,Vaciante,11,Bird,43.86
12 DE ABRIL,2023,Winter,Vaciante,11,Insect,61.43
12 DE ABRIL,2023,Winter,Vaciante,11,Mammal,0.86
12 DE ABRIL,2023,Winter,Vaciante,12,Amphibian,0.43
12 DE ABRIL,2023,Winter,Vaciante,12,Anthropogenic,42.43
12 DE ABRIL,2023,Winter,Vaciante,12,Bird,35.43
12 DE ABRIL,2023,Winter,Vaciante,12,Insect,37.0
12 DE ABRIL,2023,Winter,Vaciante,12,Mammal,1.14
12 DE ABRIL,2023,Winter,Vaciante,13,Amphibian,0.86
12 DE ABRIL,2023,Winter,Vaciante,13,Anthropogenic,33.0
12 DE ABRIL,2023,Winter,Vaciante,13,Bird,17.29
12 DE ABRIL,2023,Winter,Vaciante,13,Insect,48.71
12 DE ABRIL,2023,Winter,Vaciante,14,Amphibian,0.43
12 DE ABRIL,2023,Winter,Vaciante,14,Anthropogenic,36.0
12 DE ABRIL,2023,Winter,Vaciante,14,Bird,17.86
12 DE ABRIL,2023,Winter,Vaciante,14,Insect,71.0
12 DE ABRIL,2023,Winter,Vaciante,14,Mammal,0.14
12 DE ABRIL,2023,Winter,Vaciante,15,Amphibian,0.57
12 DE ABRIL,2023,Winter,Vaciante,15,Anthropogenic,49.57
12 DE ABRIL,2023,Winter,Vaciante,15,Bird,20.86
12 DE ABRIL,2023,Winter,Vaciante,15,Insect,106.71
12 DE ABRIL,2023,Winter,Vaciante,16,Amphibian,3.14
12 DE ABRIL,2023,Winter,Vaciante,16,Anthropogenic,46.0
12 DE ABRIL,2023,Winter,Vaciante,16,Bird,21.43
12 DE ABRIL,2023,Winter,Vaciante,16,Insect,138.86
12 DE ABRIL,2023,Winter,Vaciante,16,Mammal,0.14
12 DE ABRIL,2023,Winter,Vaciante,17,Amphibian,0.57
12 DE ABRIL,2023,Winter,Vaciante,17,Anthropogenic,65.43
12 DE ABRIL,2023,Winter,Vaciante,17,Bird,18.29
12 DE ABRIL,2023,Winter,Vaciante,17,Insect,153.29
12 DE ABRIL,2023,Winter,Vaciante,18,Amphibian,1.43
12 DE ABRIL,2023,Winter,Vaciante,18,Anthropogenic,67.71
12 DE ABRIL,2023,Winter,Vaciante,18,Bird,6.86
12 DE ABRIL,2023,Winter,Vaciante,18,Insect,179.86
12 DE ABRIL,2023,Winter,Vaciante,18,Mammal,0.43
12 DE ABRIL,2023,Winter,Vaciante,19,Amphibian,1.14
12 DE ABRIL,2023,Winter,Vaciante,19,Anthropogenic,85.29
12 DE ABRIL,2023,Winter,Vaciante,19,Bird,1.14
12 DE ABRIL,2023,Winter,Vaciante,19,Insect,195.29
12 DE ABRIL,2023,Winter,Vaciante,20,Amphibian,2.43
12 DE ABRIL,2023,Winter,Vaciante,20,Anthropogenic,120.0
12 DE ABRIL,2023,Winter,Vaciante,20,Bird,2.43
12 DE ABRIL,2023,Winter,Vaciante,20,Insect,160.14
12 DE ABRIL,2023,Winter,Vaciante,20,Mammal,2.0
12 DE ABRIL,2023,Winter,Vaciante,21,Amphibian,1.71
12 DE ABRIL,2023,Winter,Vaciante,21,Anthropogenic,120.86
12 DE ABRIL,2023,Winter,Vaciante,21,Bird,3.14
12 DE ABRIL,2023,Winter,Vaciante,21,Insect,161.29
12 DE ABRIL,2023,Winter,Vaciante,21,Mammal,2.57
12 DE ABRIL,2023,Winter,Vaciante,22,Amphibian,1.14
12 DE ABRIL,2023,Winter,Vaciante,22,Anthropogenic,99.43
12 DE ABRIL,2023,Winter,Vaciante,22,Bird,3.14
12 DE ABRIL,2023,Winter,Vaciante,22,Insect,152.29
12 DE ABRIL,2023,Winter,Vaciante,22,Mammal,1.0
12 DE ABRIL,2023,Winter,Vaciante,23,Amphibian,0.57
12 DE ABRIL,2023,Winter,Vaciante,23,Anthropogenic,99.43
12 DE ABRIL,2023,Winter,Vaciante,23,Bird,4.86
12 DE ABRIL,2023,Winter,Vaciante,23,Insect,154.29
12 DE ABRIL,2023,Winter,Vaciante,23,Mammal,1.29
12 DE ABRIL,2024,Autumn,Creciente,0,Amphibian,0.22
12 DE ABRIL,2024,Autumn,Creciente,0,Anthropogenic,1.0
12 DE ABRIL,2024,Autumn,Creciente,0,Bird,0.11
12 DE ABRIL,2024,Autumn,Creciente,0,Insect,84.0
12 DE ABRIL,2024,Autumn,Creciente,1,Amphibian,0.22
12 DE ABRIL,2024,Autumn,Creciente,1,Anthropogenic,4.22
12 DE ABRIL,2024,Autumn,Creciente,1,Bird,0.22
12 DE ABRIL,2024,Autumn,Creciente,1,Insect,72.33
12 DE ABRIL,2024,Autumn,Creciente,2,Amphibian,1.22
12 DE ABRIL,2024,Autumn,Creciente,2,Anthropogenic,0.89
12 DE ABRIL,2024,Autumn,Creciente,2,Bird,0.22
12 DE ABRIL,2024,Autumn,Creciente,2,Insect,68.44
12 DE ABRIL,2024,Autumn,Creciente,3,Amphibian,0.22
12 DE ABRIL,2024,Autumn,Creciente,3,Anthropogenic,2.78
