localidad,hora_dia,primary_category,promedio_clips_hora
QUISTOCOCHA,12,Anthropogenic,29.25
QUISTOCOCHA,12,Bird,23.88
QUISTOCOCHA,12,Insect,14.88
QUISTOCOCHA,12,Mammal,0.71
QUISTOCOCHA,13,Amphibian,1.14
QUISTOCOCHA,13,Anthropogenic,39.11
QUISTOCOCHA,13,Bird,31.14
QUISTOCOCHA,13,Insect,18.75
QUISTOCOCHA,13,Mammal,1.21
QUISTOCOCHA,14,Amphibian,2.55
QUISTOCOCHA,14,Anthropogenic,31.23
QUISTOCOCHA,14,Bird,22.13
QUISTOCOCHA,14,Insect,24.0
QUISTOCOCHA,14,Mammal,0.52
QUISTOCOCHA,15,Amphibian,3.5
QUISTOCOCHA,15,Anthropogenic,23.38
QUISTOCOCHA,15,Bird,19.66
QUISTOCOCHA,15,Insect,35.8
QUISTOCOCHA,15,Mammal,0.46
QUISTOCOCHA,16,Amphibian,3.04
QUISTOCOCHA,16,Anthropogenic,28.41
QUISTOCOCHA,16,Bird,22.38
QUISTOCOCHA,16,Insect,44.54
QUISTOCOCHA,16,Mammal,0.54
QUISTOCOCHA,17,Amphibian,3.77
QUISTOCOCHA,17,Anthropogenic,27.3
QUISTOCOCHA,17,Bird,20.7
QUISTOCOCHA,17,Insect,50.11
QUISTOCOCHA,17,Mammal,0.32
QUISTOCOCHA,18,Amphibian,8.16
QUISTOCOCHA,18,Anthropogenic,35.11
QUISTOCOCHA,18,Bird,12.23
QUISTOCOCHA,18,Insect,65.34
QUISTOCOCHA,18,Mammal,0.23
QUISTOCOCHA,19,Amphibian,1.75
QUISTOCOCHA,19,Anthropogenic,39.89
QUISTOCOCHA,19,Bird,7.77
QUISTOCOCHA,19,Insect,83.71
QUISTOCOCHA,19,Mammal,0.75
QUISTOCOCHA,20,Amphibian,1.0
QUISTOCOCHA,20,Anthropogenic,46.91
QUISTOCOCHA,20,Bird,9.09
QUISTOCOCHA,20,Insect,54.32
QUISTOCOCHA,20,Mammal,0.32
QUISTOCOCHA,21,Amphibian,0.91
QUISTOCOCHA,21,Anthropogenic,38.84
QUISTOCOCHA,21,Bird,8.46
QUISTOCOCHA,21,Insect,60.95
QUISTOCOCHA,21,Mammal,0.32
QUISTOCOCHA,22,Amphibian,0.27
QUISTOCOCHA,22,Anthropogenic,33.84
QUISTOCOCHA,22,Bird,6.45
QUISTOCOCHA,22,Insect,80.79
QUISTOCOCHA,22,Mammal,0.48
QUISTOCOCHA,23,Amphibian,0.66
QUISTOCOCHA,23,Anthropogenic,26.63
QUISTOCOCHA,23,Bird,7.86
QUISTOCOCHA,23,Insect,80.55
QUISTOCOCHA,23,Mammal,1.21
SAN LUCAS,0,Amphibian,3.98
SAN LUCAS,0,Anthropogenic,25.2
SAN LUCAS,0,Bird,3.8
SAN LUCAS,0,Insect,106.39
SAN LUCAS,0,Mammal,0.57
SAN LUCAS,1,Amphibian,1.37
SAN LUCAS,1,Anthropogenic,21.31
SAN LUCAS,1,Bird,5.1
SAN LUCAS,1,Insect,107.53
SAN LUCAS,1,Mammal,0.31
SAN LUCAS,2,Amphibian,1.31
SAN LUCAS,2,Anthropogenic,20.78
SAN LUCAS,2,Bird,7.0
SAN LUCAS,2,Insect,88.16
SAN LUCAS,2,Mammal,0.57
SAN LUCAS,3,Amphibian,5.04
SAN LUCAS,3,Anthropogenic,16.31
SAN LUCAS,3,Bird,20.06
SAN LUCAS,3,Insect,76.49
SAN LUCAS,3,Mammal,0.55
SAN LUCAS,4,Amphibian,3.16
SAN LUCAS,4,Anthropogenic,22.57
SAN LUCAS,4,Bird,33.88
SAN LUCAS,4,Insect,65.61
SAN LUCAS,4,Mammal,1.02
SAN LUCAS,5,Amphibian,5.61
SAN LUCAS,5,Anthropogenic,27.33
SAN LUCAS,5,Bird,62.33
SAN LUCAS,5,Insect,67.82
SAN LUCAS,5,Mammal,1.2
SAN LUCAS,6,Amphibian,1.35
SAN LUCAS,6,Anthropogenic,20.31
SAN LUCAS,6,Bird,117.88
SAN LUCAS,6,Insect,51.9
SAN LUCAS,6,Mammal,1.16
SAN LUCAS,7,Amphibian,1.1
SAN LUCAS,7,Anthropogenic,32.06
SAN LUCAS,7,Bird,95.33
SAN LUCAS,7,Insect,59.96
SAN LUCAS,7,Mammal,1.2
SAN LUCAS,8,Amphibian,0.35
SAN LUCAS,8,Anthropogenic,32.14
SAN LUCAS,8,Bird,97.84
SAN LUCAS,8,Insect,49.43
SAN LUCAS,8,Mammal,0.9
SAN LUCAS,9,Amphibian,0.49
SAN LUCAS,9,Anthropogenic,38.08
SAN LUCAS,9,Bird,91.59
SAN LUCAS,9,Insect,38.98
SAN LUCAS,9,Mammal,1.67
SAN LUCAS,10,Amphibian,0.61
SAN LUCAS,10,Anthropogenic,35.67
SAN LUCAS,10,Bird,85.88
SAN LUCAS,10,Insect,36.16
SAN LUCAS,10,Mammal,1.06
SAN LUCAS,11,Amphibian,0.76
SAN LUCAS,11,Anthropogenic,38.0
SAN LUCAS,11,Bird,76.94
SAN LUCAS,11,Insect,35.78
SAN LUCAS,11,Mammal,0.67
