localidad,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
PAUJIL,Creciente,10,Mammal,0.48
PAUJIL,Creciente,11,Amphibian,0.91
PAUJIL,Creciente,11,Anthropogenic,10.7
PAUJIL,Creciente,11,Bird,77.58
PAUJIL,Creciente,11,Insect,92.06
PAUJIL,Creciente,11,Mammal,0.45
PAUJIL,Creciente,12,Amphibian,1.76
PAUJIL,Creciente,12,Anthropogenic,17.73
PAUJIL,Creciente,12,Bird,64.33
PAUJIL,Creciente,12,Insect,99.97
PAUJIL,Creciente,12,Mammal,0.36
PAUJIL,Creciente,13,Amphibian,5.09
PAUJIL,Creciente,13,Anthropogenic,15.7
PAUJIL,Creciente,13,Bird,62.58
PAUJIL,Creciente,13,Insect,80.52
PAUJIL,Creciente,13,Mammal,0.73
PAUJIL,Creciente,14,Amphibian,2.06
PAUJIL,Creciente,14,Anthropogenic,14.55
PAUJIL,Creciente,14,Bird,49.61
PAUJIL,Creciente,14,Insect,85.42
PAUJIL,Creciente,14,Mammal,0.82
PAUJIL,Creciente,15,Amphibian,9.88
PAUJIL,Creciente,15,Anthropogenic,15.88
PAUJIL,Creciente,15,Bird,39.55
PAUJIL,Creciente,15,Insect,110.33
PAUJIL,Creciente,15,Mammal,0.21
PAUJIL,Creciente,16,Amphibian,6.15
PAUJIL,Creciente,16,Anthropogenic,16.94
PAUJIL,Creciente,16,Bird,25.06
PAUJIL,Creciente,16,Insect,108.21
PAUJIL,Creciente,16,Mammal,0.3
PAUJIL,Creciente,17,Amphibian,8.94
PAUJIL,Creciente,17,Anthropogenic,28.03
PAUJIL,Creciente,17,Bird,19.85
PAUJIL,Creciente,17,Insect,83.88
PAUJIL,Creciente,17,Mammal,0.33
PAUJIL,Creciente,18,Amphibian,9.64
PAUJIL,Creciente,18,Anthropogenic,28.64
PAUJIL,Creciente,18,Bird,9.55
PAUJIL,Creciente,18,Insect,94.52
PAUJIL,Creciente,18,Mammal,0.12
PAUJIL,Creciente,19,Amphibian,11.27
PAUJIL,Creciente,19,Anthropogenic,23.85
PAUJIL,Creciente,19,Bird,3.15
PAUJIL,Creciente,19,Insect,137.24
PAUJIL,Creciente,19,Mammal,0.12
PAUJIL,Creciente,20,Amphibian,11.42
PAUJIL,Creciente,20,Anthropogenic,39.45
PAUJIL,Creciente,20,Bird,1.94
PAUJIL,Creciente,20,Insect,122.67
PAUJIL,Creciente,20,Mammal,0.09
PAUJIL,Creciente,21,Amphibian,11.85
PAUJIL,Creciente,21,Anthropogenic,34.18
PAUJIL,Creciente,21,Bird,4.94
PAUJIL,Creciente,21,Insect,130.52
PAUJIL,Creciente,21,Mammal,0.36
PAUJIL,Creciente,22,Amphibian,17.97
PAUJIL,Creciente,22,Anthropogenic,31.39
PAUJIL,Creciente,22,Bird,2.03
PAUJIL,Creciente,22,Insect,130.64
PAUJIL,Creciente,22,Mammal,0.61
PAUJIL,Creciente,23,Amphibian,9.27
PAUJIL,Creciente,23,Anthropogenic,23.33
PAUJIL,Creciente,23,Bird,1.88
PAUJIL,Creciente,23,Insect,142.64
PAUJIL,Creciente,23,Mammal,0.15
PAUJIL,Vaciante,0,Amphibian,9.24
PAUJIL,Vaciante,0,Anthropogenic,15.86
PAUJIL,Vaciante,0,Bird,3.67
PAUJIL,Vaciante,0,Insect,130.1
PAUJIL,Vaciante,0,Mammal,0.29
PAUJIL,Vaciante,1,Amphibian,1.95
PAUJIL,Vaciante,1,Anthropogenic,3.57
PAUJIL,Vaciante,1,Bird,2.52
PAUJIL,Vaciante,1,Insect,135.05
PAUJIL,Vaciante,1,Mammal,0.24
PAUJIL,Vaciante,2,Amphibian,1.62
PAUJIL,Vaciante,2,Anthropogenic,5.05
PAUJIL,Vaciante,2,Bird,2.95
PAUJIL,Vaciante,2,Insect,119.24
PAUJIL,Vaciante,2,Mammal,0.67
PAUJIL,Vaciante,3,Amphibian,1.86
PAUJIL,Vaciante,3,Anthropogenic,25.86
PAUJIL,Vaciante,3,Bird,2.67
PAUJIL,Vaciante,3,Insect,102.52
PAUJIL,Vaciante,4,Amphibian,2.05
PAUJIL,Vaciante,4,Anthropogenic,23.48
PAUJIL,Vaciante,4,Bird,6.14
PAUJIL,Vaciante,4,Insect,104.1
PAUJIL,Vaciante,4,Mammal,0.29
PAUJIL,Vaciante,5,Amphibian,1.76
