localidad,ciclo_hidrologico,temporada_base,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Vaciante,2023,22,Bird,3.14
12 DE ABRIL,Vaciante,2023,22,Insect,152.29
12 DE ABRIL,Vaciante,2023,22,Mammal,1.0
12 DE ABRIL,Vaciante,2023,23,Amphibian,0.57
12 DE ABRIL,Vaciante,2023,23,Anthropogenic,99.43
12 DE ABRIL,Vaciante,2023,23,Bird,4.86
12 DE ABRIL,Vaciante,2023,23,Insect,154.29
12 DE ABRIL,Vaciante,2023,23,Mammal,1.29
12 DE ABRIL,Vaciante,2024,0,Amphibian,14.88
12 DE ABRIL,Vaciante,2024,0,Anthropogenic,0.88
12 DE ABRIL,Vaciante,2024,0,Bird,0.13
12 DE ABRIL,Vaciante,2024,0,Insect,91.25
12 DE ABRIL,Vaciante,2024,1,Amphibian,11.13
12 DE ABRIL,Vaciante,2024,1,Anthropogenic,8.0
12 DE ABRIL,Vaciante,2024,1,Bird,0.88
12 DE ABRIL,Vaciante,2024,1,Insect,75.38
12 DE ABRIL,Vaciante,2024,1,Mammal,5.13
12 DE ABRIL,Vaciante,2024,2,Amphibian,8.63
12 DE ABRIL,Vaciante,2024,2,Anthropogenic,11.88
12 DE ABRIL,Vaciante,2024,2,Bird,0.63
12 DE ABRIL,Vaciante,2024,2,Insect,71.88
12 DE ABRIL,Vaciante,2024,2,Mammal,0.13
12 DE ABRIL,Vaciante,2024,3,Amphibian,13.38
12 DE ABRIL,Vaciante,2024,3,Anthropogenic,17.63
12 DE ABRIL,Vaciante,2024,3,Bird,1.25
12 DE ABRIL,Vaciante,2024,3,Insect,71.5
12 DE ABRIL,Vaciante,2024,3,Mammal,0.75
12 DE ABRIL,Vaciante,2024,4,Amphibian,17.0
12 DE ABRIL,Vaciante,2024,4,Anthropogenic,17.75
12 DE ABRIL,Vaciante,2024,4,Bird,1.0
12 DE ABRIL,Vaciante,2024,4,Insect,59.38
12 DE ABRIL,Vaciante,2024,4,Mammal,1.25
12 DE ABRIL,Vaciante,2024,5,Amphibian,11.38
12 DE ABRIL,Vaciante,2024,5,Anthropogenic,19.75
12 DE ABRIL,Vaciante,2024,5,Bird,1.38
12 DE ABRIL,Vaciante,2024,5,Insect,57.0
12 DE ABRIL,Vaciante,2024,5,Mammal,0.13
12 DE ABRIL,Vaciante,2024,6,Anthropogenic,1.0
12 DE ABRIL,Vaciante,2024,6,Bird,74.63
12 DE ABRIL,Vaciante,2024,6,Insect,18.13
12 DE ABRIL,Vaciante,2024,6,Mammal,5.13
12 DE ABRIL,Vaciante,2024,7,Amphibian,0.38
12 DE ABRIL,Vaciante,2024,7,Anthropogenic,21.88
12 DE ABRIL,Vaciante,2024,7,Bird,26.88
12 DE ABRIL,Vaciante,2024,7,Insect,38.88
12 DE ABRIL,Vaciante,2024,7,Mammal,4.25
12 DE ABRIL,Vaciante,2024,8,Anthropogenic,12.63
12 DE ABRIL,Vaciante,2024,8,Bird,15.5
12 DE ABRIL,Vaciante,2024,8,Insect,53.38
